Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	5.066623e-09	4.511451e-07	0	0	5.674834e+00	1.083927e+02	PSMD14;PSMD13;PSMA7;PSMB10;PSMB8;PSMB9;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMD6;PSMD7;PSMA4;PSMD4;PSMB2;PSMC3;PSMB3;PSMC4;PSMB1;PSME1;PSME2;SKP1
GO_Biological_Process_2021	tumor necrosis factor-mediated signaling pathway (GO:0033209)	8.561781e-09	7.464802e-07	0	0	3.998655e+00	7.427884e+01	PSMD14;PSMD13;ILK;PSMA7;PSMB10;RELA;PSMD8;PSMB6;PSMB7;PSMD6;PSMD7;PSMD4;PSMB2;PSMB3;TMSB4X;PSMB1;PTK2B;EIF5A;TNFRSF18;ACTN4;COMMD7;PSMB8;TNFRSF1A;PSMB9;PSMA5;PSMA6;PSMA4;PSMC3;PSMC4;PSME1;PSME2
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	9.421523e-09	8.046750e-07	0	0	2.407489e+00	4.449104e+01	PPP1R11;UBE2D2;UBE2D3;KEAP1;UBE2L6;UBE2L3;PSMD8;NUB1;PSMD6;RNF115;PSMD7;MAEA;PSMD4;FBXW4;MYLIP;FBXW5;NHLRC3;PPP2R5C;VPS37B;RAD23B;SIRT2;PSMA5;PSMA6;RNF167;RNF126;RNF125;PSMA4;KCTD10;DDIT3;PSME1;PSME2;ANAPC5;RBCK1;SQSTM1;RNF166;ANAPC16;PSMD14;PSMD13;VPS4B;RNF8;RNF6;RNF5;PSMA7;PSMB10;PSMB6;PSMB7;RNF213;SHARPIN;OS9;PSMB2;PSMB3;TBX21;PSMB1;BUB3;XBP1;CRBN;ADRM1;NTAN1;PSMB8;PSMB9;SPSB3;PSMC3;PSMC4;STUB1;RNF187
GO_Biological_Process_2021	cellular response to interleukin-12 (GO:0071349)	1.073943e-08	8.988903e-07	0	0	6.924320e+00	1.270567e+02	HSPA9;ARF1;MSN;MIF;CDC42;RAP1B;IFNG;HNRNPF;CFL1;HNRNPA2B1;TCP1;STAT4;PSME2;CD47;LCP1;P4HB;IL12RB1;PPIA;JAK1
GO_Biological_Process_2021	regulation of cellular ketone metabolic process (GO:0010565)	1.372241e-08	1.126044e-06	0	0	5.575200e+00	1.009347e+02	PSMD14;PSMD13;PSMA7;PSMB10;PSMB8;PSMB9;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMD6;PSMD7;PSMA4;PSMD4;PSMB2;PSMC3;PSMB3;PSMC4;PSMB1;PSME1;PSME2
GO_Biological_Process_2021	regulation of hematopoietic stem cell differentiation (GO:1902036)	1.515255e-08	1.219489e-06	0	0	5.247941e+00	9.448969e+01	YTHDF2;PSMD14;PSMD13;PSMA7;PSMB10;PSMB8;PSMB9;PSMD8;PSMA5;PSMB6;PSMA6;PSMB7;PSMD6;PSMD7;PSMA4;PSMD4;PSMB2;PSMC3;PSMB3;PSMC4;PSMB1;PSME1;PSME2
GO_Biological_Process_2021	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	1.606365e-08	1.268422e-06	0	0	4.569145e+00	8.200111e+01	PSMD14;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMD7;PSMD4;PSMB2;PSMB3;PSMB1;FBXO6;SKP1;FBXW4;FBXW5;PSMB8;PSMB9;PSMA5;PSMA6;PSMA4;PSMC3;PSMC4;PSME1;PSME2
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	1.927471e-08	1.493790e-06	0	0	4.197795e+00	7.457162e+01	SP100;CCL4L1;MT2A;CCL5;CCL4;CASP1;CCL3;NCAM1;GBP2;IL12RB1;B2M;GBP4;JAK1;GBP5;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;IFNG;IRF3;IRF1;IRF7;XCL2;XCL1;CD47;GAPDH;IRF9
GO_Biological_Process_2021	negative regulation of apoptotic process (GO:0043066)	2.308616e-08	1.756647e-06	0	0	2.340559e+00	4.115647e+01	ARL6IP1;ZFAND6;CIB1;PARK7;TRIAP1;AATF;MAEA;CCND2;ARHGDIA;CFL1;RPS6KA1;PIM1;CD38;PRKCH;ANXA1;ANXA4;F2R;SERPINB9;MIF;YWHAZ;TAX1BP1;HCLS1;ADAM8;TMBIM6;CARD16;SQSTM1;CX3CR1;HDAC2;HDAC1;GSTP1;GLO1;HIGD1A;RELA;MTDH;HSP90B1;SOCS2;PRDX5;RNF213;MIEN1;DNAJB6;IRAK1;UBB;DDRGK1;PDCD10;UBC;FLNA;BNIP2;MAPK1;PTK2B;SNX6;CDKN2D;HSPA9;PRELID1;XBP1;SEMA4D;HSPA5;MGMT;CFLAR;DNAJA1;DAB2;HNRNPK;SON;IL2RB;CIAPIN1;BCL2L1
GO_Biological_Process_2021	interleukin-12-mediated signaling pathway (GO:0035722)	3.028524e-08	2.263281e-06	0	0	6.828714e+00	1.182228e+02	HSPA9;ARF1;MSN;MIF;CDC42;RAP1B;IFNG;HNRNPF;CFL1;HNRNPA2B1;TCP1;STAT4;PSME2;LCP1;P4HB;IL12RB1;PPIA;JAK1
